,tree,logistic,randomForest,boostedTree,svm,neuralNet,neighbors
Accuracy Train,0.9818107333060221,0.9727570667759116,0.9738222040147481,0.9793527242933224,0.9727980335927898,0.9726341663252766,0.9757066775911512
Accuracy Test,0.9755304913018543,0.9724718027145861,0.9736188109348117,0.9772510036321927,0.9727585547696426,0.9726629707512904,0.9732364748614032
AUC Train,0.8950338433663907,0.7764766532651283,0.8072568848627898,0.8747823666433612,0.40866886014537385,0.7743053300543199,0.7178835255956868
AUC Test,0.79036234095113,0.7417332512769592,0.774564765061913,0.8502271203211922,0.4252625028228427,0.7318789013410011,0.640616698472131
